Top Word 1,Top Word 2,Top Word 3,Top Word 4,Top Word 5
gokuu ,zenigata ,tactical ,bloodthirsty ,jigen 
pokémon ,gohan ,goemon ,jigen ,bramble 
hilarious ,comedic ,yorozuya ,gag ,doraemon 
takashi natsume ,uninhabitable ,karasuno ,karasuno high ,karasuno high school 
precure ,pokémon ,pokemon ,sorceress ,luffy 
hijikata ,yorozuya ,edo ,bakumatsu ,demon slayer 
pikachu ,pokémon ,pokemon ,safety anime ,satoshi friend 
mobile suit ,zeon ,gundam ,universal century ,aznable 
shower tv ,space shower ,space shower tv ,id directed ,shower tv station 
edogawa ,conan edogawa ,kogorou mouri ,detective boy ,ryougi 
tomoya ,triangle ,confess feeling ,romantic feeling ,love triangle 
clubroom ,karasuno ,karasuno high ,karasuno high school ,school soon 
planet earth ,prototype ,universal century ,space pirate ,arale 
nohara ,nohara family ,zenigata ,jigen ,takumi fujiwara 
precure ,pretty cure ,takashi natsume ,book friend ,momozono 
conan edogawa ,konohagakure ,luffy ,arale ,kaitou 
takashi natsume ,peeping life ,family restaurant ,asahigaoka ,ayanagi 
tennis team ,boxer ,echizen ,ryouma echizen ,boy tennis 
izuku ,academy city ,hokage ,midoriya ,boy named quon 
koyomi araragi ,takashi natsume ,onmyouji ,aozaki ,apparition 
