Top Word 1,Top Word 2,Top Word 3,Top Word 4,Top Word 5
gokuu ,kirito ,admiral ,gunpla ,kamui 
gohan ,kuiba ,sinbad ,eureka ,pero 
doraemon ,tenchi ,hilarious ,comedic ,gintoki 
karasuno ,kircheis ,takato ,vale ,hiroki 
precure ,kirito ,kuiba ,bakugan ,rimuru 
genji ,hijikata ,mushishi ,holo ,tanjirou 
backkom ,pero ,shobu ,mewtwo ,team rocket 
zeon ,mobile suit ,gunpla ,universal century ,nuku 
hoshitani ,kao council ,ayanagi ,kumiko ,shower tv 
mikiya ,edogawa ,conan edogawa ,detective boy ,kogorou mouri 
tomoya ,issei ,lum ,negi ,hiroki 
rito ,karasuno ,issei ,ooarai ,hoshitani 
reinhard ,rito ,prototype ,arale ,planet earth 
nohara ,nohara family ,zenigata ,jigen ,nuku 
precure ,pretty cure ,utena ,jewelpets ,takashi natsume 
rito ,karasuno ,conan edogawa ,konohagakure ,ippo 
retsuko ,hoshitani ,kao council ,ayanagi ,jiang xiaobai 
karasuno ,tennis team ,boxer ,ippo ,seirin 
locke ,izuku ,academy city ,midoriya ,deku 
yato ,koyomi araragi ,band hawk ,ciel ,jotaro 
