,synopsis,true_genres,predicted_genres
0,"The daily life of the Motsumoto family. The three sisters, Fuu, Suu, and Chii, follow what happens on a daily basis. Mother and Father have to deal with them sometimes, but they're used to it.","['Comedy', 'Slice of Life']","['Comedy', 'Seinen', 'Slice of Life']"
1,"The Soul Tree, the great source of our race.  But for its ultimate power and by those whose minds were blinded by it, it also became the catastrophic cause that had brought never-ending wars between the tribes. Tortured by the agonies of the wars, the leaders of the tribes finally came to a peace agreement that they would instead open a competition. Players, equipped with special watches and shields, compete against each other as winner’s tribe would be awarded with Materion, the sacred fruit of the Soul Tree.  These brave players, who throw themselves in this fierce fight, we call them the Runningman.","['Action', 'Adventure', 'Kids']","['Action', 'Adventure', 'Fantasy']"
2,"Fairies living in a fluffy forest, where both flowers and trees are fluffy. Follow a witch's trouble-maker apprentices Pui Pui and Muu Muu.","['Fantasy', 'Kids']","['Comedy', 'Fantasy', 'Kids']"
3,A cyborg warrior from an ancient Antarctic kingdom awakes 30000 years later from an accidental hibernation to find the Earth changed and an old alien enemy on the verge of invasion. It's up to Guyslugger to use his ancient technology to defeat the aliens.,"['Action', 'Mecha', 'Sci-Fi']","['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Shounen', 'Super Power']"
4,"The 2018 LINE sticker set Poccolies is inspiring a series of anime shorts. The story of the sticker set is that a positive and honest boy named Patsuhiko lives on Pokkori Island, along with the shrewd and mysterious Ham, and a reliable older brother figure named Kangaroo. The sticker set follows their daily lives.","['Kids', 'Slice of Life']","['Comedy', 'Kids']"
5,"General of the Three Kingdoms, Kongming had struggled his whole life, facing countless battles that made him into the accomplished strategist he was. So on his deathbed, he wished only to be reborn into a peaceful world... and was sent straight to modern-day party-central, Tokyo! Can even a brilliant strategist like Kongming adapt to the wild beats and even wilder party people?!",['Comedy'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']"
6,"This show consists of shorts starring 7 characters created and voiced by the voice actors of the variety show ""Seiyuu Danshi desu ga...?"". The anime will be a slapstick comedy that follows seven spirits that come to the modern world.","['Comedy', 'Supernatural']",['Comedy']
7,"The supreme Gods who had too much free time created the ultimate brain games ""Play of the Gods."" Former Goddess Leche awoke from a long slumber and declared to the world, ""Bring forth the person who is the best in games in this era!"" Fay is nominated to represent humanity as the ""best rookie in recent years.""  The ""Game of the Gods"" that is about to begin between the two may be a little too difficult, as there has yet to be a victor throughout human history, because Gods are capricious, very unreasonable, and sometimes completely incomprehensible. However, given the nature of the games, it would be a waste not to have a good time and play with all of one's heart! The ultimate brain battles of a genius gamer boy, a former Goddess, and friends begin!",['Fantasy'],"['Action', 'Adventure', 'Fantasy', 'Shounen']"
8,"Technoroid: Overmind is set in the Entertainment Tower Babel, a new hope found by those who have lost the joy of light as humanity's activities are restricted due to the large-scale climate change caused by the expanded sun. The anime depicts unique units and characters fighting for the top of Babel, pursuing emotions that move people and androids through performances.",['Music'],"['Mecha', 'Sci-Fi', 'Seinen']"
9,A young woman aims to become a famous fashion designer.,"['Romance', 'Shoujo']",[]
10,"Say hi to Tayo's new friend - Titipo! Train Center's new born little train Titipo has just passed the driving examination and is prepared to work at the Train Village. Although Titipo dreams of becoming the best train in the world, his curious yet random personality catches him in unforeseen events and troubles everyday. Titipo expands his experience in the greater world and befriends Genie, Diesel, and other little trains. Will Titipo achieve his dream of becoming the best train? Come join the railroad journey and meet Titipo and the little train friends.",['Kids'],"['Comedy', 'Kids', 'Seinen', 'Slice of Life']"
11,"The series follows Officer Black Cat's adventures around the forest neighbourhood, apprehending criminals, dealing justice, and solving crimes.","['Action', 'Adventure', 'Comedy', 'Kids']","['Adventure', 'Comedy', 'Kids', 'Seinen', 'Shounen', 'Super Power']"
12,"The hero of Tensei shitara Ken deshita differs from your standard otherworldly protagonist in that he is reincarnated as a sword! Beginning his quest by spawning in the middle of a beast-ridden forest, he encounters an injured girl frantically fleeing for her life. Saving her from her assailants, the pair acquaint themselves, and the girl introduces herself as Fran. She bears a heavy past, having endured the enslavement and maltreatment of her tribe, the Black Cats.  As the hero is unable to remember the name from his past life, the young and tenacious Fran bestows him the name ""Shishou"" and becomes his wielder. Thereafter, Shishou and Fran become a formidable team, embarking on quests to liberate the oppressed and exact justice!","['Action', 'Fantasy']","['Action', 'Adventure', 'Fantasy']"
13,"If a girl teases you, that means she likes you!  Unfortunately, Akiteru knows from experience that isn't the case. Because every girl he interacts with shows him nothing but scorn, and he's not scored a single date from it! Luckily, he's more concerned with securing a spot for him and his game-development buddies at his uncle's business.  But when his uncle throws him a condition that involves playing the part of his daughter's boyfriend, Akiteru has no choice but to take it. What will his best friend's sister Iroha, who bullies him relentlessly, think of the news?","['Comedy', 'Romance', 'School']","['Comedy', 'Drama', 'Romance', 'School', 'Seinen']"
14,The second season of . SBS took over broadcasting the show. The art style has been changed for a more modern anime-esque appearance and some voice actors did not reprise their character's roles.,"['Kids', 'Sci-Fi']","['Comedy', 'Kids', 'Seinen']"
15,"Hitori Gotou is a high school girl who's starting to learn to play the guitar because she dreams of being in a band, but she's so shy that she hasn't made a single friend. However, her dream might come true after she meets Nijika Ijichi, a girl who plays drums and is looking for a new guitarist for her band.","['Comedy', 'Music', 'Slice of Life']","['Drama', 'Music', 'Romance', 'School', 'Seinen', 'Slice of Life']"
16,"The anime's story centers on a cat named Maru, adopted by a girl named Anna from a shelter in Matsuyama city. Loved and well fed by the family, Maru gets rounder and fatter every day, spending most of his day sitting by the window and looking at the garden outside. When the family gets a new cat named Cerisier and begins doting on it, Maru gets jealous. In a fight with Cerisier, Maru is hurt by the family's words to him, and follows the advice of another cat to leave and see the world.",['Slice of Life'],[]
17,"TV anime based on San-X's new series of mascot characters ""Chickip Dancers."" The main characters in the anime will be the apprehensive but curious bone-in chicken Hone Chicken, and the dancing instructor frog Skip Gaeru, who travels by dancing.",['Slice of Life'],"['Comedy', 'Kids', 'Slice of Life']"
18,"A Chinese prince meets a regular civilian during his travels and quickly falls in love. They marry and have a daughter, but the prince is soon separated from them during a rebellion. Many years later, the prince has become emperor and locates his lost daughter. She comes to live with him, but unfortunately has picked up several unrefined habits during her times as a civilian.","['Comedy', 'Historical', 'Kids']","['Comedy', 'Drama', 'Historical', 'Seinen']"
19,The anime follows the frogs Kekkero and Ke who try to find their 998 other siblings.,['Comedy'],"['Comedy', 'Kids']"
20,"The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.","['Fantasy', 'Kids', 'Music']","['Kids', 'Music']"
21,"Excellent student Iwakura Mitsumi has always dreamt about leaving her small town, going to a prestigious university, and making positive change in the world. But she's so focused on reaching her goals that she's not prepared for the very different (and overwhelming) city life that awaits her in a Tokyo high school. Luckily, she makes fast friends with Shima Sousuke, a handsome classmate who's as laid-back as she is over-prepared. Can this naive country girl make it big in Tokyo with Sousuke by her side?","['School', 'Seinen', 'Slice of Life']","['Comedy', 'Romance', 'School', 'Seinen', 'Slice of Life']"
22,"It follows the fan favorite character Vandyne as his hidden secrets are revealed. Unlike the reboot, which exclusively uses 3DCG visuals, this series is like the earlier entries and is animated with 2D and 3D visuals.  The mini-series is part of a new promotional campaign from Sono Kong. The Korean toy manufacturer will launch four new mechanimals this month at retail.","['Adventure', 'Kids', 'Mecha']","['Fantasy', 'Kids']"
23,The mischievous antics of a ghost in an ancient village.,['Supernatural'],"['Comedy', 'Kids']"
24,"One day, a gamer played video games until he fell asleep...and when he woke up, he found himself in the game world—as a skeleton! Equipped with the powerful weapons and armor of his avatar but stuck with its frightening skeletal appearance, Arc has to find a place for himself in this new, fantastical land. All his hopes for a quiet life are dashed when he crosses paths with a beautiful elven warrior, setting him on a journey full of conflict and adventure.","['Action', 'Fantasy']","['Action', 'Adventure', 'Fantasy']"
25,"The anime is based on Kazuo Hara's comedy manga in which mascot characters live and work among humans. Agencies have been set up to train mascots to babysit children and then to place the mascots within families. Noramimi is one such mascot at the Hello Kids branch office #59. Unfortunately, no family wants to adopt a mascot born from a demon (oni) family, so he is stuck living at the agency.  Source: ANN, Moon Phase",['Comedy'],"['Comedy', 'Kids', 'Slice of Life']"
26,"The series of ""warm and soothing"" anime shorts will follow a cat who is suddenly resurrected from the grave and begins to wander around town. Despite being a zombie, the cat is able to get all the townsfolk to fall in love with it.",['Comedy'],"['Comedy', 'Fantasy']"
27,"Shoot for the stars! I'm going to be the country's number one alchemist!  When young girl Sarasa graduated from the Royal Alchemist Academy, her teacher gifted her a house for her to set up shop. Aiming to become a masterclass alchemist, she gathers materials herself, experiments and operates a business. In her very own atelier, Sarasa indulges in a slow and relaxed alchemist life!","['Adventure', 'Fantasy', 'Slice of Life']","['Comedy', 'Seinen', 'Slice of Life']"
28,"Based on Otomate's puzzle role-playing game.  A medical student named Shiina and nine male partners are trapped in a certain dimensional realm with many ancient texts and an enormous mysterious clock. Together, they must find a way to escape by uncovering clues before the clock strikes ""13.""","['Mystery', 'Romance', 'Supernatural']",['Fantasy']
29,"An anime/documentary series about athletes present by NHK.  The first episode adapts material from Tomoyoshi Itou and Shingo Morita's Weekly Young Jump biographical manga (Geniuses Without Glory)—specifically the story about Hironoshin Furuhashi, the swimmer also known as ""the flying fish of Fujiyama."" The episode also includes interviews with Olympic swimmer Kousuke Kitajima and other Japanese swimmers about the how Furuhashi changed the Japanese competitive swimming world, as well as what sort of training is required to be an Olympic swimmer.",['Sports'],"['Drama', 'Seinen', 'Sports']"
30,A story of the adventures of Robby and Kerobby along with their other friends.,"['Comedy', 'Kids']","['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Seinen', 'Shounen', 'Super Power']"
31,"Eiyuu Densetsu: Sen no Kiseki centers around Rean Schwarzer, a professor at Thors Military Academy in the Erebonian Empire. The anime's story will focus on the western part of the Zemurian continent featured in the games.",['Action'],"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power']"
32,"A little ghost girl gets worries when Ms. Fushihara, a corporate slave, is working till midnight, and tries to make her go home. While saying ""Leave now~,"" the ghost girl helps and brings her refreshments, healing Ms. Fushihara's heart with her preciousness. Be healed by the heartwarming daily life of the cute little ghost and the corporate slave Ms. Fushihara.","['Comedy', 'Shounen', 'Slice of Life', 'Supernatural']","['Comedy', 'Seinen', 'Supernatural']"
33,The story follows as Tochi and Milo travel the world in search of new Kimchi Pong to save their homes and uncover the secrets behind these creatures.,"['Adventure', 'Fantasy', 'Kids']","['Adventure', 'Comedy', 'Fantasy', 'Kids']"
34,"On planet Kirakira live two tribes: Senobi and Robot. Senobi, quiet and peacefully set, settle down in the forest. Robot comes from the desert and starts war to take control of afforested grounds. A young hero coming from Senobi tries to appease the whole situation.","['Action', 'Adventure', 'Sci-Fi']","['Adventure', 'Mecha', 'Sci-Fi']"
35,"Urobe was a son of the great chief of Pyrimi, Africa. One day he hung on an airplane and came to Japan. Because of the cold and hunger, he fell on to the yard of Shishio’s house, and Shishio nursed him. Kurobe was very thankful for him and began to repay for his kindness. Kurobe dug a big hole in the yard.Every time he returns the favor, he threw a stone into the hole until stones would fill the hole.",['Comedy'],"['Drama', 'Historical', 'Seinen']"
36,"It is the time of civil war. Zipangu is a country where people live together with gimmick warriors, a kind of super human robot. There, people and gimmick warriors struggle to seize power. Musashi, a Samurai gimmick warrior, departs to on a quest to become the best Samurai warrior. Musashi thrives in the series of battles, encountering with many heroes and villains including his lifelong rival, Kojiro, an expert swordsman.Later, Mushashi and Kojiro are sent by their General to escort the Princess, a granddaughter of the general. The princess is spoiled and difficult, so their journey becomes series of misadventures. Soon, they are caught up in a battle to seize control of the Country.","['Action', 'Adventure', 'Mecha']","['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Shounen', 'Super Power']"
37,"The story is told by the cat-eyed boy, hated by humans and demons, who engages in tales of terror, including monsters and children.","['Adventure', 'Seinen', 'Supernatural']",[]
38,"In the city of Fuuto, criminals make use of USB-like devices called ""Gaia Memories"" to turn themselves into superpowered monsters known as ""Dopants,"" wreaking havoc in the otherwise peaceful city. However, there are also heroes who utilize the Gaia Memories to fight these criminals, one of whom is the self-proclaimed, hard-boiled detective Shoutarou Hidari. With the help of his witty partner Philip, the two transform into Kamen Rider W—the legendary hero of Fuuto city.  After the fall of Museum—the evil organisation responsible for many crimes in Fuuto—the production and distribution of Gaia Memories has halted. However, remnants of Gaia Memories still remain within society and are sold in the black market at high prices. Thus, the two heroes from Narumi Detective Agency are yet to have time to relax. Sights of Dopants still occur and the agency receives more and more clients who claim to experience supernatural phenomena.  Regardless of the arduous nature of the task, Kamen Rider W promises that those who hurt Fuuto will inevitably count up their sins.","['Action', 'Drama', 'Mystery', 'Seinen', 'Supernatural']","['Action', 'Adventure', 'Comedy', 'Seinen', 'Shounen', 'Super Power']"
39,"Tonko House has partnered with Japanese stop-motion house ""dwarf"" and CG studio Megalis on the new project. Tsutsumi is the directing showrunner of a stop-motion/CGI animated TV series called “Oni,” about a human girl being raised by a mythical Japanese god.  Tonko House plans to show test footage of at its first-ever Tonko House Film Festival this spring in Tokyo.",['Kids'],"['Comedy', 'Fantasy']"
40,Nameko Forest gathers nameko from all over the world. They form the Nameko Universal Ranger (NUR) to convey the charm of the forest. It's an everyday life of inviting new nameko with unique personalities to the forests. What incident will happen today?,"['Comedy', 'Kids']","['Comedy', 'Kids', 'Seinen', 'Slice of Life']"
41,"The story tells the tale of Semi, a bright girl who goes in a magical time journey with the genius teacher Wai, in order to prevent the evil X from utilizing the powers of the magic cube for evil. Along the way, Semi and her math school friends run into history and math problems that they must solve with logic and wit.","['Action', 'Comedy', 'Fantasy']","['Comedy', 'Fantasy', 'Kids']"
42,An NHK toddler's anime following a Spoon Princess and other kitchen themed characters.,"['Adventure', 'Kids']","['Comedy', 'Kids']"
43,"The hero of Wansa-kun is Wansa, a puppy who is sold for a pittance, then escapes, and spends much of the rest of the series looking for his mother.",['Comedy'],"['Comedy', 'Kids']"
44,Japan has 47 prefectures and each one has a guardian spirit called a Dochamon. follows guardian spirits in training to one day take over the jobs of their elders. But these juniors have a lot of growing up to do before they graduate!,"['Comedy', 'Kids']","['Comedy', 'Seinen', 'Shounen']"
45,G.G. Bonds enters the realm of dreams to stop evil's power from growing. They must get the citizens of Crystal City to remember their dreams so that the 5 element powers can recharge.,"['Kids', 'Sci-Fi', 'Super Power']","['Action', 'Adventure', 'Fantasy', 'Kids', 'Shounen', 'Super Power']"
46,"Three oni-kids who, through the power of the onipan (a portmanteau of ""oni"" and ""pantsu"") become human to help fix the relationship between humans and oni. The three girls transfer into a normal Tokyo high school to aid in their task and help fix their image by revitalizing the town, sometimes jumping headfirst into school events, and other times ... becoming idols!","['Comedy', 'Fantasy']","['Comedy', 'School', 'Seinen', 'Slice of Life']"
