,anime_id,title,synopsis,genres,score,synopsis_word_count
5,41426,Watanuki-san Chi to,Second season of .,Slice of Life,,4
9,38138,Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,"In honor of the 2018 World Cup, this season of GG Bond focuses on sports team competition, team spirit, and personal growth as they compete in the Meteor League.",Sci-Fi|Sports|Super Power|Kids,,29
12,47164,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV,Fourth season of .,Action|Adventure|Comedy|Fantasy|Romance,,4
17,48418,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou 2nd Season Part 2",Second half of .,Action|Fantasy|Demons|School,,4
27,30605,Uwabaki Cook no Tekitou Uranai!,A collaboration shorts that aired as part of Yomiuri TV's morning program block.,Comedy,,13
28,42994,Jashin-chan Dropkick X,Third season of .,Comedy|Supernatural,,4
32,50631,"Komi-san wa, Comyushou desu. 2nd Season",Second season of .,Comedy|Drama|Slice of Life|School|Shounen,,4
35,36002,Otona no Ikkyuu-san 2nd Season,The second season of .,Comedy|Historical,,5
36,17423,Pink Lady Monogatari: Eikou no Tenshi-tachi,"Based on the real life-story of Pink Lady, a female pop duo that rose to superstardom in the mid-1970's.",Drama|Slice of Life|Music,,19
37,35108,Ninja Tamamaru: Toukaidou Gojuusan-ji,The third season of .,Martial Arts|Kids,,5
41,30151,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.",Comedy|Slice of Life,,19
44,32585,Telemonster,"Korean Animation about the monsters Eerie, Rock-G, Popo, and Yossi and the adventures they go on each day!",Adventure,,18
46,48413,Hataraku Maou-sama! 2nd Season,Second season of,Comedy|Fantasy|Romance|Supernatural|Demons,,3
52,49184,Gunma-chan,"An anime series based on the Gunma Prefecture mascot character, Gunma-chan.",Slice of Life,,11
54,42144,Jingju Mao Zhi Xinnian de Maoxian,Second season of .,Action|Adventure|Comedy|Fantasy|Kids,,4
60,49784,Mairimashita! Iruma-kun 3rd Season,Third season of .,Comedy|Fantasy|Supernatural|Demons|School|Shounen,,4
72,10815,UFO Senshi Dai Apolon 2,Second season of UFO Senshi Dai Apolon.,Action|Sci-Fi|Mecha,,7
77,5140,Karaoke Senshi Mike-tarou,A story about kids fighting with Karaoke.,Music|Kids,,7
78,10709,Manga Nihon Keizai Nyuumon,"Depiction of Japan's economy, based on Shoutarou Ishinomori's epynomous manga.",Drama|Slice of Life|Historical|Seinen,,10
80,50203,Love Live! Superstar!! 2nd Season,Second season of .,Slice of Life|Music|School,,4
91,50998,Ma-eum-uisoli Season 3,Third Season of .,Comedy|Slice of Life,,4
92,42745,Machikado Mazoku: 2-choume,Second season of .,Comedy|Slice of Life,,4
95,50197,"Ijiranaide, Nagatoro-san 2nd Season",Second season of .,Comedy|Romance|Slice of Life,,4
99,29435,Ongaku Sekai Ryokou,Stop-motion animation using clay and puppets follows a musician and hit cat traveling the world and learning about music in different cultures while spreading their own songs.,Music|Kids,,27
103,42146,Jingju Mao Zhi Cheng Feng Polang,Third season of .,Action|Adventure|Comedy|Fantasy|Martial Arts|Kids,,4
108,27681,Sasurai-kun,Based on the gag manga by Fujio A Fujiko.,Comedy|Slice of Life,,9
112,37244,Gan Gan Ganko-chan 2nd Season,Second season of the anime series.,Comedy|Sci-Fi|Kids,,6
114,38072,Kkoma Bus Tayo 3,The third season of .,Cars|Kids,,5
123,30232,Tamagotchi! Tamatomo Daishuu GO,New anime series.,Comedy|Fantasy|Kids,,3
124,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,Third season of .,Comedy|Romance|Psychological|School|Seinen,,4
126,38568,Susume! Dokan-kun,"The second season of the franchise. It aired within the ""Fight Tension☆School"" variety program.",Comedy|Mecha,,14
127,43416,Kaoru no Taisetsu na Mono,Spin-off of with super deformed characters.,Comedy,,6
135,5089,Noramimi 2,Sequel to Noramimi.,Comedy,,3
138,37951,Ice Kuritarou,"A short anime that airs within ""Enkame: That's Enka Tainment"" (and enka variety show) program on Asahi TV. It follows a cast of ice cream characters.",Kids,,26
142,33123,Koto Nakare Hero Gingerman,Shorts about root vegetables from the refrigerator who try to act like superheroes.,Comedy,,13
143,35696,Konigiri-kun,A stop-motion anime using bentou ingredients as the characters.,Kids,,9
145,45486,Kuma Kuma Kuma Bear 2nd Season,Second season of .,Adventure|Comedy|Fantasy,,4
146,51180,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 3rd Season,3rd season of .,Drama|Psychological|School,,4
147,41514,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu. II,Second season of,Action|Adventure|Comedy|Fantasy|Sci-Fi,,3
148,50664,Saihate no Paladin 2nd Season,Second season of .,Action|Adventure|Fantasy,,4
154,50678,Kyoukai Senki Part 2,Second part of .,Action|Sci-Fi|Mecha,,4
160,49109,Kami-tachi ni Hirowareta Otoko 2nd Season,Second season of .,Adventure|Fantasy|Slice of Life,,4
161,40357,Tate no Yuusha no Nariagari Season 3,Third season of .,Action|Adventure|Drama|Fantasy,,4
162,44583,Rail Romanesque 2nd Season,Second season of .,Slice of Life,,4
166,51009,Jujutsu Kaisen (TV) 2nd Season,Second season of .,Action|Supernatural|Demons|School|Shounen,,4
171,41117,Gozonji! Kakuza Tousan,The second season of the franchise.,Drama|Cars|Historical|Parody,,6
178,21487,Shin Dokonjou Gaeru,Continuation of series.,Comedy|Slice of Life|Shounen,,3
183,35385,Yukai na Animal Bus 2nd Season,Second season of .,Comedy|Kids,,4
186,23829,Komatsu Sakyo Anime Gekijou,The collection of short SF stories.,Comedy|Sci-Fi|Parody|Space,,6
188,49820,Cardfight!! Vanguard: overDress Season 4,Fourth season of .,Comedy|Game,,4
193,50663,Poputepipikku 2nd Season,Second season of .,Comedy|Parody,,4
198,50307,Tonikaku Kawaii 2nd Season,Second season of .,Comedy|Romance|Shounen,,4
202,38427,Daifuku-kun@Kin Tele,Part of TV Tokyo's Kinder TV (きんだーてれび) program.,Comedy,,8
203,42068,Utau Soccer Panda Mifanda,Short anime based on Mifanda from MIFA (Music Interact Football for All).,Slice of Life|Music,,12
207,41116,Kakugen! Kakuza Tousan,The third season of of the franchise.,Comedy|Drama|Historical|Parody,,7
208,5234,Zettai Yareru Greece Shinwa,Comedy show based on Greek myths about how perverted the gods are.,Comedy|Ecchi,,12
213,15897,Picchipichi Shizuku-chan,Third season of .,Comedy|Kids,,4
217,33398,Neko Konogoro,Based on the characters created by Study.,Comedy,,7
227,38074,Kkoma Bus Tayo 4,The fourth season of .,Cars|Kids,,5
228,35365,Kkoma Sinseon Tao 2,A direct continuation of .,Kids,,5
234,37945,Cocomong 3,The third season of .,Kids,,5
240,50997,Ma-eum-uisoli Season 2,Second season of .,Comedy|Slice of Life,,4
242,11203,Hero Hero-kun,It's a comedy about children in elementary school.,Adventure|Comedy|Game|Kids,,8
246,44204,Kyokou Suiri 2nd Season,Second season of .,Mystery|Romance|Supernatural|Demons|Shounen,,4
247,50330,Bungou Stray Dogs 4th Season,Latest season of .,Action|Comedy|Mystery|Supernatural|Super Power|Seinen,,4
254,30411,Happy Jozy,A comedic family of Americans experience life in Japan.,Comedy,,9
