Genre,Accuracy,Precision,Recall,F1-Score
Action,0.7770360480640854,0.71875,0.549800796812749,0.6230248306997742
Adventure,0.7917222963951935,0.7432432432432432,0.2864583333333333,0.41353383458646614
Comedy,0.7236315086782377,0.7916666666666666,0.4360655737704918,0.5623678646934461
Drama,0.7930574098798397,0.8333333333333334,0.11695906432748537,0.20512820512820512
Fantasy,0.8264352469959947,0.7913043478260869,0.4619289340101523,0.5833333333333334
Historical,0.9292389853137517,1.0,0.15873015873015872,0.273972602739726
Kids,0.910547396528705,0.0,0.0,0.0
Mecha,0.931909212283044,0.6923076923076923,0.29508196721311475,0.41379310344827586
Music,0.945260347129506,0.0,0.0,0.0
Mystery,0.9292389853137517,1.0,0.03636363636363636,0.07017543859649122
Romance,0.8718291054739653,0.7872340425531915,0.3008130081300813,0.43529411764705883
School,0.8945260347129506,0.7,0.23076923076923078,0.34710743801652894
Sci-Fi,0.8945260347129506,0.8403361344537815,0.625,0.7168458781362007
Seinen,0.9225634178905207,0.0,0.0,0.0
Shoujo,0.931909212283044,0.0,0.0,0.0
Shounen,0.8317757009345794,0.0,0.0,0.0
Slice of Life,0.8491321762349799,1.0,0.017391304347826087,0.03418803418803419
Sports,0.9692923898531375,0.8636363636363636,0.48717948717948717,0.6229508196721312
Super Power,0.9399198931909212,0.0,0.0,0.0
Supernatural,0.8758344459279038,0.6428571428571429,0.09278350515463918,0.16216216216216217
