,Genre,Top Word 1,Top Word 2,Top Word 3,Top Word 4,Top Word 5
0,Action,girl,school,life,story,episode
1,Adventure,school,girl,life,story,new
2,Comedy,world,life,girl,story,school
3,Drama,world,girl,school,new,life
4,Fantasy,school,girl,life,new,story
5,Historical,girl,school,world,life,new
6,Kids,girl,school,world,life,new
7,Mecha,girl,school,world,life,story
8,Music,world,girl,school,life,new
9,Mystery,girl,world,school,life,new
10,Romance,world,life,girl,new,story
11,School,world,life,girl,story,new
12,Sci-Fi,school,girl,life,world,story
13,Seinen,world,girl,school,life,new
14,Shoujo,world,life,girl,school,new
15,Shounen,girl,world,life,school,story
16,Slice of Life,world,girl,school,life,new
17,Sports,world,girl,life,school,new
18,Super Power,girl,world,school,life,new
19,Supernatural,girl,world,school,life,new
