Genre,Count,Percentage
Comedy,4426,12.427348027516496
Action,3075,8.63400252702513
Fantasy,2382,6.688193177032149
Adventure,2097,5.887968552576162
Drama,1982,5.565070897093921
Sci-Fi,1909,5.360101081005195
Romance,1625,4.562684262249053
Shounen,1570,4.408254948757546
Slice of Life,1499,4.208900744068511
School,1391,3.9056577284851888
Supernatural,1265,3.551874210304647
Hentai,999,2.804997894145725
Kids,889,2.4961392671627123
Historical,746,2.094623052084796
Mecha,741,2.0805840235855677
Seinen,725,2.0356591323880386
Mystery,630,1.7689175909027095
Ecchi,629,1.766109785202864
Music,592,1.6622209743085778
Shoujo,563,1.5807946090130562
Sports,525,1.4740979924189246
Super Power,506,1.4207496841218588
Parody,456,1.2803593991295803
Military,454,1.274743787729889
Demons,409,1.1483925312368384
Harem,370,1.0388881089428612
Horror,366,1.0276568861434787
Other,2794,7.845009125368524
